word,context_count,pos_count,neg_count,pmi_positive,pmi_negative,sentiment_score,source
still,21,17,6,1.5376765595775617,0.926626741204817,0.6110498183727446,youtube
character,12,7,7,1.2099891525120818,1.6403932089674984,-0.4304040564554166,youtube
even,31,21,14,1.3595208864830455,1.3844598348302977,-0.024938948347252188,youtube
got,20,13,10,1.3182027371523144,1.48624252914024,-0.1680397919879255,youtube
buy,16,7,10,0.9223070800603008,1.7093860804544496,-0.7870790003941488,youtube
assassin,12,9,3,1.4613035807929877,0.7930953485802946,0.6682082322126931,youtube
gameplay,17,12,6,1.400678958976553,1.137935834872024,0.2627431241045288,youtube
valhalla,26,20,8,1.4866213887772777,1.000734713358539,0.48588667541873876,youtube
put,11,9,3,1.5483149577826174,0.8801067255699241,0.6682082322126933,youtube
new,13,12,5,1.6689429455712324,1.2238782646727489,0.4450646808984835,youtube
honestly,13,10,8,1.4866213887772777,1.6938818939184843,-0.20726050514120664,youtube
everything,11,7,5,1.2970005295017115,1.390932349335915,-0.0939318198342034,youtube
cant,21,14,14,1.3435205451366043,1.7739246015920207,-0.43040405645541635,youtube
missions,14,6,9,0.9016877928575652,1.7375569574211458,-0.8358691645635806,youtube
tsushima,13,8,7,1.263477837463068,1.5603505012939618,-0.29687266383089383,youtube
back,18,16,6,1.6312026175883854,1.0807774210320755,0.5504251965563098,youtube
characters,12,9,6,1.4613035807929877,1.48624252914024,-0.024938948347252188,youtube
fine,14,10,5,1.4125134166235558,1.149770292519027,0.2627431241045288,youtube
japan,12,10,8,1.5666640964508143,1.7739246015920207,-0.20726050514120642,youtube
sucks,15,2,15,-0.26591736729749604,2.1793897097001853,-2.4453070769976812,youtube
main,14,10,7,1.4125134166235558,1.4862425291402397,-0.0737291125166839,youtube
love,62,62,13,1.7489856532447687,0.6172046821166304,1.1317809711281384,youtube
one,40,31,17,1.4940934036159785,1.3237235996424648,0.17036980397351376,youtube
boring,31,7,31,0.2609085978149357,2.1793897097001853,-1.9184811118852496,youtube
actually,19,17,6,1.6377600181345442,1.0267101997617996,0.6110498183727446,youtube
say,13,10,3,1.4866213887772777,0.713052640906758,0.7735687478705197,youtube
ghost,14,9,8,1.3071529009657297,1.6197739217647626,-0.312621020799033,youtube
story,45,34,20,1.4686836880906102,1.3684594934838563,0.10022419460675391,youtube
amazing,22,22,2,1.7489856532447687,-0.21850556309818536,1.967491216342954,youtube
great,56,56,10,1.7489856532447687,0.45662311195908156,1.2923625412856872,youtube
shit,20,6,20,0.5450128489188326,2.1793897097001853,-1.6343768607813527,youtube
gonna,10,6,5,1.238160029478778,1.48624252914024,-0.2480824996614619,youtube
years,10,7,4,1.3923107093060363,1.2630989778260302,0.1292117314800061,youtube
fun,20,16,10,1.525842101930559,1.48624252914024,0.039599572790319115,youtube
hate,54,20,54,0.7557338802344853,2.1793897097001853,-1.4236558294657,youtube
playing,31,24,10,1.493052279107568,1.0479875982090845,0.4450646808984835,youtube
thing,18,9,12,1.0558384726848236,1.7739246015920207,-0.7180861289071971,youtube
graphics,17,15,6,1.6238225102907626,1.137935834872024,0.48588667541873853,youtube
go,15,10,11,1.3435205451366043,1.8692347813963457,-0.5257142362597413,youtube
enough,10,7,3,1.3923107093060363,0.9754169053742492,0.4168938039317871,youtube
people,37,24,24,1.3161215709484897,1.746525627403906,-0.43040405645541635,youtube
bad,37,10,37,0.4406528335945898,2.1793897097001853,-1.7387368761055955,youtube
enjoy,10,8,3,1.525842101930559,0.9754169053742492,0.5504251965563098,youtube
games,94,81,34,1.6001400256472038,1.1624554520463426,0.4376845736008612,youtube
assassins,50,40,18,1.525842101930559,1.1577384621682039,0.36810363976235516,youtube
far,13,10,8,1.4866213887772777,1.6938818939184843,-0.20726050514120664,youtube
stealth,12,10,4,1.5666640964508143,1.0807774210320755,0.48588667541873876,youtube
going,12,11,3,1.661974276255139,0.7930953485802946,0.8688789276748444,youtube
yasuke,11,8,5,1.430531922126234,1.390932349335915,0.039599572790319115,youtube
played,32,24,14,1.4613035807929875,1.3527111365157172,0.10859244427727033,youtube
creed,59,50,19,1.5834712147671954,1.046291244960906,0.5371799698062893,youtube
series,12,10,4,1.5666640964508143,1.0807774210320755,0.48588667541873876,youtube
really,43,28,22,1.3199900477264102,1.5092320473649388,-0.1892419996385286,youtube
didnt,12,7,7,1.2099891525120818,1.6403932089674984,-0.4304040564554166,youtube
want,13,8,6,1.263477837463068,1.4061998214667033,-0.14272198400363534,youtube
feel,13,10,4,1.4866213887772777,1.000734713358539,0.48588667541873876,youtube
see,16,15,3,1.6844471321071977,0.5054132761285136,1.179033855978684,youtube
isnt,12,8,5,1.3435205451366046,1.3039209723462852,0.03959957279031934,youtube
combat,19,14,7,1.4436040036935869,1.180860879589058,0.2627431241045288,youtube
ac,83,68,25,1.5496527506242774,0.979424926771788,0.5702278238524894,youtube
hours,22,16,8,1.430531922126234,1.1677887980217052,0.2627431241045288,youtube
much,23,15,18,1.3215416384178291,1.9342672516672001,-0.612725613249371,youtube
make,13,11,6,1.5819315685816027,1.4061998214667033,0.17573174711489936,youtube
never,14,12,3,1.5948349734175105,0.638944668753036,0.9558903046644744,youtube
like,83,61,35,1.441018909621482,1.315897163393001,0.12512174622848105,youtube
getting,12,8,8,1.3435205451366046,1.7739246015920207,-0.43040405645541613,youtube
origins,21,14,12,1.3435205451366043,1.6197739217647624,-0.2762533766281581,youtube
flag,11,7,6,1.2970005295017115,1.5732539061298694,-0.27625337662815785,youtube
lot,17,14,6,1.5548296388038112,1.137935834872024,0.4168938039317871,youtube
ubisoft,53,36,23,1.362212678148757,1.344592012077213,0.01762066607154389,youtube
every,20,13,10,1.3182027371523144,1.48624252914024,-0.1680397919879255,youtube
need,13,9,9,1.3812608731194513,1.8116649295748677,-0.43040405645541635,youtube
odyssey,29,26,6,1.6397863612797767,0.6038533489417661,1.0359330123380106,youtube
look,14,11,7,1.5078235964278808,1.4862425291402397,0.021581067287641087,youtube
better,20,18,8,1.6436251375869424,1.2630989778260302,0.3805261597609122,youtube
mechanics,10,8,5,1.525842101930559,1.48624252914024,0.039599572790319115,youtube
japanese,11,5,7,0.9605282928804985,1.7274045859571279,-0.7668762930766294,youtube
review,20,11,9,1.1511486524891483,1.3808820134824136,-0.22973336099326525,youtube
made,17,10,7,1.2183574021825982,1.2920865146992826,-0.07372911251668435,youtube
havent,11,8,4,1.430531922126234,1.1677887980217052,0.2627431241045288,youtube
yet,14,10,5,1.4125134166235558,1.149770292519027,0.2627431241045288,youtube
black,17,12,8,1.400678958976553,1.4256179073238051,-0.024938948347252188,youtube
shadows,21,18,5,1.5948349734175102,0.7443051844108626,0.8505297890066477,youtube
world,16,13,6,1.5413462884665243,1.198560456688459,0.34278583177806543,youtube
someone,12,10,6,1.5666640964508143,1.48624252914024,0.08042156731057437,youtube
something,11,10,3,1.6536754734404437,0.8801067255699241,0.7735687478705197,youtube
time,29,24,10,1.5597436536062401,1.1146789727077568,0.4450646808984833,youtube
get,40,34,23,1.5864667237469938,1.6260044715153985,-0.039537747768404685,youtube
way,26,24,7,1.6689429455712324,0.8672033207340164,0.801739624837216,youtube
awesome,22,22,5,1.7489856532447687,0.6977851687759696,1.051200484468799,youtube
best,21,16,7,1.4770519377611269,1.0807774210320753,0.39627451672905156,youtube
understand,11,2,9,0.04423756100634336,1.978719014238034,-1.9344814532316905,youtube
think,26,23,6,1.6263833311524365,0.713052640906758,0.9133306902456785,youtube
good,104,104,18,1.7489856532447687,0.42537056845497717,1.3236150847897916,youtube
,177,138,62,1.5000896058281443,1.1303743621714477,0.3697152436566966,youtube
play,46,39,14,1.58390590288532,0.9898056428263486,0.5941002600589713,youtube
looks,21,16,8,1.4770519377611269,1.214308813656598,0.2627431241045288,youtube
game,270,202,126,1.4588313916475986,1.4172496576532885,0.04158173399431009,youtube
know,24,15,16,1.2789820239990333,1.7739246015920207,-0.49494257759298743,youtube
came,12,10,4,1.5666640964508143,1.0807774210320755,0.48588667541873876,youtube
side,11,7,8,1.2970005295017115,1.8609359785816506,-0.5639354490799391,youtube
point,11,8,6,1.430531922126234,1.5732539061298694,-0.14272198400363534,youtube
give,15,9,7,1.238160029478778,1.4172496576532885,-0.17908962817451046,youtube
first,23,18,10,1.5038631952117836,1.346480586765081,0.1573826084467025,youtube
since,18,16,4,1.6312026175883854,0.6753123129239113,0.9558903046644741,youtube
last,17,12,7,1.400678958976553,1.2920865146992826,0.10859244427727033,youtube
also,15,14,5,1.679992781757817,1.0807774210320755,0.5992153607257416,youtube
